Группа,Услуга,Код,Москва,Санкт-Петербург,Республика Адыгея,Республика Башкортостан,Республика Бурятия,Республика Алтай,Республика Дагестан,Республика Ингушетия,Респ. Кабардино-Балкарская,Республика Калмыкия,Респ. Карачаево-Черкесская,Республика Карелия,Республика Коми,Республика Марий Эл,Республика Мордовия,Республика Саха (Якутия),Северная Осетия - Алания,Республика Татарстан,Республика Тыва,Удмуртская Республика,Республика Хакасия,Республика Чечня,Республика Чувашия,Алтайский край,Краснодарский край,Красноярский край,Приморский край,Ставропольский край,Хабаровский край,Амурская обл.,Архангельская обл.,Астраханская обл.,Белгородская обл.,Брянская обл.,Владимирская обл.,Волгоградская обл.,Вологодская обл.,Воронежская обл.,Ивановская обл.,Иркутская обл.,Калининградская обл.,Калужская обл.,Камчатский край,Кемеровская обл.,Кировская обл.,Костромская обл.,Курганская обл.,Курская обл.,Ленинградская обл.,Липецкая обл.,Магаданская обл.,Московская обл.,Мурманская обл.,Нижегородская обл.,Новгородская обл.,Новосибирская обл.,Омская обл.,Оренбургская обл.,Орловская обл.,Пензенская обл.,Пермский край,Псковская обл.,Ростовская обл.,Рязанская обл.,Самарская обл.,Тольятти,Саратовская обл.,Сахалинская обл.,Свердловская обл.,Смоленская обл.,Тамбовская обл.,Тверская обл.,Томская обл.,Тульская обл.,Тюменская обл.,Ульяновская обл.,Челябинская обл.,Забайкальский край,Ярославская обл.,Еврейская АО,Ненецкий АО,Ханты-Мансийский АО,Чукотский АО,Ямало-Ненецкий АО,Запорожская обл.,Республика Крым,Севастополь,Донецкая нар. респ.,Луганская нар. респ.,Херсонская обл.
Торги и закупки,один пользователь,EOeSBIS_T,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000,29 000
Торги и закупки,один пользователь,Torg_API,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000,55 000
Торги и закупки,один пользователь,Torg_Bas,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000,21 000
Торги и закупки,один пользователь,Torg_Max,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000,45 000
Торги и закупки,один пользователь,Torgi_SBIS,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000
Торги и закупки,один пользователь,Trade_add,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000
Торги и закупки,один пользователь,realiz_base,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000
