Группа,Услуга,Код,Москва,Санкт-Петербург,Республика Адыгея,Республика Башкортостан,Республика Бурятия,Республика Алтай,Республика Дагестан,Республика Ингушетия,Респ. Кабардино-Балкарская,Республика Калмыкия,Респ. Карачаево-Черкесская,Республика Карелия,Республика Коми,Республика Марий Эл,Республика Мордовия,Республика Саха (Якутия),Северная Осетия - Алания,Республика Татарстан,Республика Тыва,Удмуртская Республика,Республика Хакасия,Республика Чечня,Республика Чувашия,Алтайский край,Краснодарский край,Красноярский край,Приморский край,Ставропольский край,Хабаровский край,Амурская обл.,Архангельская обл.,Астраханская обл.,Белгородская обл.,Брянская обл.,Владимирская обл.,Волгоградская обл.,Вологодская обл.,Воронежская обл.,Ивановская обл.,Иркутская обл.,Калининградская обл.,Калужская обл.,Камчатский край,Кемеровская обл.,Кировская обл.,Костромская обл.,Курганская обл.,Курская обл.,Ленинградская обл.,Липецкая обл.,Магаданская обл.,Московская обл.,Мурманская обл.,Нижегородская обл.,Новгородская обл.,Новосибирская обл.,Омская обл.,Оренбургская обл.,Орловская обл.,Пензенская обл.,Пермский край,Псковская обл.,Ростовская обл.,Рязанская обл.,Самарская обл.,Тольятти,Саратовская обл.,Сахалинская обл.,Свердловская обл.,Смоленская обл.,Тамбовская обл.,Тверская обл.,Томская обл.,Тульская обл.,Тюменская обл.,Ульяновская обл.,Челябинская обл.,Забайкальский край,Ярославская обл.,Еврейская АО,Ненецкий АО,Ханты-Мансийский АО,Чукотский АО,Ямало-Ненецкий АО,Запорожская обл.,Республика Крым,Севастополь,Донецкая нар. респ.,Луганская нар. респ.,Херсонская обл.
Планы отчетности,Отчетность «Легкий» (вариант LIoN),EOpSBISfrmLIoN,9 000,6 300,4 200,5 400,4 900,5 400,4 900,4 900,5 400,4 200,5 400,6 300,5 400,4 900,5 400,6 300,5 400,5 400,4 900,5 400,4 900,5 400,3 800,5 400,6 300,6 300,5 000,5 400,4 900,4 900,3 800,4 200,3 800,4 200,4 900,4 900,3 800,5 400,4 900,6 300,6 300,4 200,5 400,5 400,5 400,4 900,4 900,4 900,5 400,4 200,6 300,7 200,6 300,5 400,4 900,5 400,4 900,4 900,4 900,6 300,5 400,5 400,6 300,4 200,6 300,6 300,5 400,5 400,5 400,4 200,4 200,4 200,4 900,4 900,5 400,4 900,5 400,5 400,4 200,5 400,3 800,5 400,5 400,5 400,3 800,4 900,4 900,3 800,3 800,3 800
Планы отчетности,Отчетность «Легкий» (вариант LO2oN),EOpSBISfrmLO2oN,19 500,11 200,9 000,11 200,10 000,10 000,7 900,9 000,10 000,7 900,10 000,11 200,12 100,7 900,10 000,12 100,10 000,10 000,10 000,10 000,10 000,10 000,6 500,11 200,11 200,11 200,10 000,10 000,10 000,10 000,7 500,7 900,7 500,7 900,10 000,10 000,7 500,10 000,10 000,12 100,11 200,7 900,12 100,11 200,10 000,10 000,10 000,10 000,11 200,9 000,12 100,16 500,11 200,11 200,10 000,12 100,10 000,10 000,10 000,11 200,12 100,10 000,11 200,9 000,12 100,12 100,10 000,12 100,9 000,9 000,9 000,7 900,10 000,10 000,12 100,10 000,11 200,11 200,7 900,9 400,7 500,10 000,9 400,9 400,7 500,9 000,9 000,7 500,7 500,7 500
Планы отчетности,Отчетность «Легкий» (вариант LUo),EOpSBISfrmLUo,13 600,8 100,6 500,8 100,6 900,6 900,6 500,6 500,6 900,5 900,6 900,8 100,8 100,6 500,6 900,8 100,6 900,6 900,6 900,6 900,6 900,6 900,5 000,6 900,6 900,8 100,6 900,6 900,6 900,6 900,5 900,5 900,5 900,5 900,6 900,6 900,5 900,6 900,6 900,8 700,8 100,5 900,8 100,8 100,6 900,6 900,6 900,6 500,8 100,6 500,8 100,10 600,8 100,8 100,6 900,8 700,6 900,6 900,6 900,8 100,8 700,6 900,6 900,6 500,8 700,8 700,6 900,8 100,6 900,6 500,6 500,5 900,6 900,6 900,8 700,6 900,8 100,8 100,5 900,6 900,5 900,6 900,6 900,6 900,5 900,6 500,6 500,5 900,5 900,5 900
Планы отчетности,Отчетность АУСН,Ent_ausn,5 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,5 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000
Бухгалтерия,Бухгалтерия для обслуживающих бухгалтерий (Buhta),Buhta,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000,13 000
Бухгалтерия,Бухгалтерия — 10 организаций,Account_10,24 500,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,24 500,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000,22 000
Бухгалтерия,Бухгалтерия — 25 организаций,Account_25,40 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,40 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000,36 000
Бухгалтерия,Бухгалтерия — 50 организаций,Account_50,59 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,59 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000,52 000
Бухгалтерия,Бухгалтерия — Базовый,Account_Base,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000,14 000
Бухгалтерия,Бухгалтерия — Легкий,Account_Lite,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000,12 000
