Группа,Услуга,Код,Москва,Санкт-Петербург,Республика Адыгея,Республика Башкортостан,Республика Бурятия,Республика Алтай,Республика Дагестан,Республика Ингушетия,Респ. Кабардино-Балкарская,Республика Калмыкия,Респ. Карачаево-Черкесская,Республика Карелия,Республика Коми,Республика Марий Эл,Республика Мордовия,Республика Саха (Якутия),Северная Осетия - Алания,Республика Татарстан,Республика Тыва,Удмуртская Республика,Республика Хакасия,Республика Чечня,Республика Чувашия,Алтайский край,Краснодарский край,Красноярский край,Приморский край,Ставропольский край,Хабаровский край,Амурская обл.,Архангельская обл.,Астраханская обл.,Белгородская обл.,Брянская обл.,Владимирская обл.,Волгоградская обл.,Вологодская обл.,Воронежская обл.,Ивановская обл.,Иркутская обл.,Калининградская обл.,Калужская обл.,Камчатский край,Кемеровская обл.,Кировская обл.,Костромская обл.,Курганская обл.,Курская обл.,Ленинградская обл.,Липецкая обл.,Магаданская обл.,Московская обл.,Мурманская обл.,Нижегородская обл.,Новгородская обл.,Новосибирская обл.,Омская обл.,Оренбургская обл.,Орловская обл.,Пензенская обл.,Пермский край,Псковская обл.,Ростовская обл.,Рязанская обл.,Самарская обл.,Тольятти,Саратовская обл.,Сахалинская обл.,Свердловская обл.,Смоленская обл.,Тамбовская обл.,Тверская обл.,Томская обл.,Тульская обл.,Тюменская обл.,Ульяновская обл.,Челябинская обл.,Забайкальский край,Ярославская обл.,Еврейская АО,Ненецкий АО,Ханты-Мансийский АО,Чукотский АО,Ямало-Ненецкий АО,Запорожская обл.,Республика Крым,Севастополь,Донецкая нар. респ.,Луганская нар. респ.,Херсонская обл.
Управление персоналом,500,CRM_KPI,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500,8 500
Управление персоналом,500,CorpNetwork,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000
Управление персоналом,500,KEDO_Users10,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200
Управление персоналом,500,KEDO_Users100,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000
Управление персоналом,500,KEDO_Users50,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500,5 500
Управление персоналом,500,KEDO_Users500,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000,46 000
Управление персоналом,500,K_Edo,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000
Управление персоналом,500,K_EdoMin,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000
Управление персоналом,500,K_Edo_1C,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000
Управление персоналом,500,K_Edo_boss,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000,31 000
Управление персоналом,500,Mot_Users10,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700
Управление персоналом,500,Mot_Users100,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000,6 000
Управление персоналом,500,Mot_Users50,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400,3 400
Управление персоналом,500,Mot_Users500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500,27 500
Управление персоналом,500,Net_Users10,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000,4 000
Управление персоналом,500,Net_Users100,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000,33 000
Управление персоналом,500,Net_Users50,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200,18 200
Управление персоналом,500,Net_Users500,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300,151 300
Управление персоналом,Брендированное приложение сотрудника,Brandusers_100,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000,125 000
Управление персоналом,Доп. польз.,OKR,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000,100 000
Управление персоналом,Доп. польз.,OKR_add,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000,3 000
Управление персоналом,Доп. рекрутер,Recruit,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000
Управление персоналом,Доп. рекрутер,Recruit_add,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000,20 000
